"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","last.tweet","community","count.numbers","number"
"@nenshi  I had 20 before 7:30 when I stopped. I estimate at least 10 more. #yyckidcount in southwest corner of Saddle Ridge.",FALSE,0,"nenshi",2014-11-01 01:31:19,FALSE,"528332990582390784","528358593687715841","33798654","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aqua_maureen",0,FALSE,FALSE,NA,NA,"528358593687715841","SADDLE RIDGE",4,NA
"#yyckidcount castleridge, only 10 so far! :(",FALSE,0,NA,2014-11-01 01:31:28,FALSE,NA,"528358628349476864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YouNeedAThneed",0,FALSE,FALSE,NA,NA,"528358628349476864","CASTLERIDGE",1,10
"35 in Tuscany and more on the way. #yyckidcount",FALSE,0,NA,2014-11-01 01:31:36,FALSE,NA,"528358663313162240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lectio",0,FALSE,FALSE,NA,NA,"528358663313162240","TUSCANY",1,35
"#yyckidcount Marlborough Park, 7:30 ran out of candy at 130 kids",FALSE,0,NA,2014-11-01 01:31:53,FALSE,NA,"528358736851521536",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","HeatherSpacecat",0,FALSE,FALSE,NA,NA,"528358736851521536","MARLBOROUGH PARK",3,NA
"#yyckidcount over 50 kids in sundance!",FALSE,0,NA,2014-11-01 01:33:12,FALSE,NA,"528359065357807618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalonde_brianna",0,FALSE,FALSE,NA,NA,"528359065357807618","SUNDANCE",1,50
"#yyckidcount Just hit the 50 mark in Evergreen Ridge. Happy Halloween!",FALSE,0,NA,2014-11-01 01:34:45,FALSE,NA,"528359456841936896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","guslitsas",0,FALSE,FALSE,NA,NA,"528359456841936896","EVERGREEN",1,50
"@nenshi #yyckidcount 48 in Altadore",FALSE,0,"nenshi",2014-11-01 01:35:59,FALSE,"527861315331575808","528359765186187264","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","transmogrifire",0,FALSE,FALSE,NA,NA,"528359765186187264","ALTADORE",1,48
"#yyckidcount about 18 so far in my little corner of Arbour Lake",FALSE,0,NA,2014-11-01 01:36:16,FALSE,NA,"528359837370163200",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","danfurst",0,FALSE,FALSE,NA,NA,"528359837370163200","ARBOUR LAKE",1,18
"50 here in Sunnyside. #yyckidcount",FALSE,0,NA,2014-11-01 01:37:31,FALSE,NA,"528360152794427393",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","atmurphy3",0,FALSE,FALSE,NA,NA,"528360152794427393","SUNNYSIDE",1,50
"Busy night in silverado @nenshi so far 79 kids and counting #yyckidcount",FALSE,0,NA,2014-11-01 01:41:02,FALSE,NA,"528361037196570626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveCIRREALTY",0,FALSE,FALSE,NA,NA,"528361037196570626","SILVERADO",1,79
"32 here in north-west hillhurst, at least 3 Elsa's so far... #yyckidcount",FALSE,0,NA,2014-11-01 01:42:42,FALSE,NA,"528361458737098752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annahopkins",0,FALSE,FALSE,NA,NA,"528361458737098752","WEST HILLHURST",2,NA
